goals_per_game,goals_against_per_game,power_play_percentage,penalty_kill_percentage,shots_per_game,shots_allowed,shooting_pctg,save_pctg,failed_shots_per_game,saves_per_game,ties,power_play_efficiency,aboveAvgAdjWins
4.7,4.188,20.6,80.3,31.5625,33.7125,14.9,87.6,26.8596875,29.532149999999998,7,0.005037783375314861,4.147058823529413
3.688,3.6,19.0,80.3,30.8,30.7125,12.0,88.3,27.104,27.119137499999997,9,-0.008902077151335312,0.235294117647058
3.513,3.6,23.6,76.5,29.4875,33.525,11.9,89.3,25.9784875,29.937825,11,-0.02727272727272727,-4.764705882352942
3.488,3.338,23.5,78.7,29.8125,30.0375,11.7,88.9,26.324437500000002,26.7033375,13,0.06108597285067873,1.235294117647058
3.625,3.713,19.2,81.0,30.85,31.8,11.8,88.3,27.2097,28.0794,11,-0.03550295857988166,-5.764705882352942
3.975,4.488,21.3,74.7,29.0,33.55,13.7,86.6,25.027,29.054299999999998,8,-0.019851116625310174,-5.264705882352942
3.613,2.9,23.6,83.2,32.6375,26.8375,11.1,89.2,29.014737500000003,23.939049999999998,9,0.08522727272727272,9.235294117647058
3.575,3.1,22.1,83.5,30.2,31.55,11.8,90.2,26.6364,28.4581,8,0.05865921787709497,7.735294117647058
3.6,2.925,15.9,80.7,31.1,28.75,11.6,89.8,27.4924,25.8175,11,-0.008823529411764706,5.235294117647058
4.213,4.475,23.3,78.2,30.4375,34.975,13.8,87.2,26.237125,30.4982,4,-0.022988505747126436,-1.264705882352942
3.55,3.438,17.0,80.8,30.2625,29.05,11.7,88.2,26.7217875,25.6221,6,-0.0024271844660194173,-2.264705882352942
3.95,3.675,22.9,80.2,33.0,27.35,12.0,86.6,29.04,23.685100000000002,6,0.014326647564469915,2.735294117647058
3.6,4.038,16.4,75.3,28.275,31.0625,12.7,87.0,24.684075,27.024375,14,-0.096045197740113,-6.264705882352942
3.688,3.488,22.5,80.9,29.1625,29.5,12.6,88.2,25.488025,26.019000000000002,9,0.03418803418803419,0.235294117647058
4.35,3.313,27.7,79.2,34.35,25.3375,12.7,86.9,29.987550000000002,22.0182875,15,0.06442577030812324,8.235294117647058
3.938,3.538,20.6,80.3,28.15,29.0625,14.0,87.8,24.209,25.516875,14,0.004914004914004914,3.735294117647058
3.063,3.825,17.1,74.8,28.8375,30.3375,10.6,87.4,25.780725,26.514975,14,-0.058823529411764705,-9.264705882352942
4.225,4.213,22.2,76.0,29.65,31.0375,14.2,86.4,25.4397,26.8164,7,-0.03498542274052478,-3.764705882352942
3.4,3.3,19.9,79.7,31.1875,27.95,10.9,88.2,27.7880625,24.6519,15,-0.03170028818443804,-2.558823529411768
2.788,3.625,16.1,77.9,27.1,31.1875,10.3,88.4,24.3087,27.56975,10,-0.08517350157728706,-12.058823529411768
3.713,3.313,23.6,79.8,30.55,31.875,12.2,89.60000000000001,26.8229,28.560000000000002,13,0.04884318766066838,0.44117647058823195
3.15,3.338,20.1,80.8,28.55,28.675,11.0,88.4,25.4095,25.3487,10,-0.011834319526627219,-4.058823529411768
4.275,3.813,22.9,79.2,30.2,34.0375,14.2,88.8,25.9116,30.2253,6,0.041237113402061855,1.941176470588232
3.738,3.3,21.1,82.6,31.4,28.0,11.9,88.2,27.6634,24.696,12,0.02849002849002849,7.941176470588232
3.65,3.475,18.2,83.2,30.125,30.4,12.1,88.6,26.479875,26.9344,19,0.0275,-1.558823529411768
3.413,3.113,18.5,80.8,29.8125,28.95,11.4,89.2,26.413875,25.8234,11,0.03361344537815126,2.441176470588232
3.013,3.975,17.6,77.5,29.2875,32.1625,10.3,87.6,26.2708875,28.17435,11,-0.06358381502890173,-13.558823529411768
3.225,3.225,18.8,86.0,29.625,26.4,10.9,87.8,26.395875,23.179199999999998,7,0.058823529411764705,-1.558823529411768
3.55,2.638,22.1,83.8,32.05,27.675,11.1,90.5,28.492449999999998,25.045875000000002,8,0.04580152671755725,10.941176470588232
3.413,3.725,16.4,77.7,28.875,29.4125,11.8,87.3,25.46775,25.6771125,8,-0.09221902017291066,-4.058823529411768
3.875,3.125,20.1,83.8,31.875,29.3125,12.2,89.3,27.986250000000002,26.1760625,11,0.04310344827586207,10.441176470588232
4.3,3.288,23.7,81.7,32.55,27.5,13.2,88.0,28.253399999999996,24.2,8,0.036458333333333336,7.941176470588232
3.4,3.4,17.4,79.4,27.5875,30.35,12.3,88.8,24.1942375,26.9508,6,-0.04709141274238227,-2.058823529411768
3.038,3.938,16.6,77.6,29.975,29.6375,10.1,86.7,26.947525000000002,25.6957125,9,-0.028132992327365727,-9.558823529411768
4.25,3.175,20.5,83.0,30.125,30.15,14.1,89.5,25.877375,26.98425,10,0.043478260869565216,8.941176470588232
3.613,3.238,17.5,81.8,31.1875,28.625,11.6,88.7,27.56975,25.390375,11,-0.026627218934911243,2.055555555555557
3.638,3.738,22.1,76.5,27.825,32.875,13.1,88.6,24.179925,29.12725,11,-0.04424778761061947,-1.9444444444444429
4.013,3.075,20.9,84.8,32.9125,31.7875,12.2,90.3,28.897175,28.7041125,5,0.05426356589147287,11.055555555555557
3.15,3.413,16.6,80.6,29.05,28.6875,10.8,88.1,25.9126,25.2736875,11,-0.019464720194647202,-3.944444444444443
4.288,3.85,21.8,79.9,31.775,31.475,13.5,87.8,27.485374999999998,27.63505,9,0.03546099290780142,2.055555555555557
3.375,3.438,19.0,80.2,33.3,29.2375,10.1,88.2,29.9367,25.787475,12,0.012315270935960592,0.5555555555555571
3.613,3.738,22.5,78.5,32.5,32.25,11.1,88.4,28.892500000000002,28.509,12,0.030042918454935622,-4.444444444444443
3.338,2.588,19.5,81.2,30.5375,27.8375,10.9,90.7,27.2089125,25.2486125,11,0.036939313984168866,5.055555555555557
2.925,3.675,17.5,80.9,30.3125,31.125,9.6,88.2,27.4025,27.45225,7,-0.007957559681697613,-7.944444444444443
4.125,3.438,22.3,83.7,31.0125,28.3875,13.3,87.9,26.8878375,24.9526125,8,0.07766990291262135,7.555555555555557
3.213,2.95,17.3,84.2,33.075,25.35,9.7,88.4,29.866725000000002,22.4094,15,0.010706638115631691,2.055555555555557
4.0,3.2,18.6,81.4,30.975,27.975,12.9,88.6,26.979225,24.78585,12,-0.015544041450777202,7.555555555555557
3.488,3.325,19.2,83.5,29.7,33.8375,11.7,90.2,26.2251,30.521425,11,0.013927576601671309,0.055555555555557135
3.7,3.813,21.0,78.1,30.9,30.875,12.0,87.7,27.192,27.077375,12,-0.04830917874396135,-4.444444444444443
3.688,3.713,18.6,78.0,27.7125,31.0625,13.3,88.0,24.0267375,27.335,10,-0.06830601092896176,-0.44444444444444287
3.563,3.125,19.4,80.1,33.3625,28.7375,10.7,89.1,29.792712499999997,25.6051125,12,0.02050113895216401,6.555555555555557
3.588,3.7,19.2,81.8,30.2375,33.2875,11.9,88.9,26.6392375,29.5925875,14,0.0072992700729927005,0.5555555555555571
2.738,4.488,17.1,78.1,29.25,36.25,9.4,87.6,26.500500000000002,31.755,5,-0.06684491978609626,-21.944444444444443
3.667,3.56,19.2,81.4,33.0238,29.8095,11.1,88.1,29.358158200000002,26.2621695,7,-0.005,-1.9722222222222214
