penalty_kill_percentage,shooting_pctg,save_pctg,failed_shots_per_game,saves_per_game,missed_playoffs
80.6,11.8,88.4,28.014525,26.9399,1
81.0,11.8,88.1,27.36405,26.914550000000002,0
76.4,12.7,87.3,27.3249,27.106650000000002,1
83.5,11.6,88.5,28.65265,24.072,0
78.1,11.8,88.2,26.34975,28.411424999999998,0
83.8,12.4,89.7,26.247149999999998,25.811175,0
77.9,11.3,87.3,26.731962499999998,29.6710875,0
81.0,11.4,88.8,27.255575,24.7086,0
80.2,12.1,88.5,25.7876625,31.572374999999997,0
83.9,14.3,88.9,24.1566875,26.8811375,0
79.3,12.2,87.9,25.077875,26.6446875,0
80.4,14.9,87.1,28.359575000000003,25.825149999999997,0
80.8,15.5,87.8,24.726812499999998,25.9449,0
79.5,11.8,86.9,25.368524999999998,26.4719125,1
77.4,12.9,86.0,26.78325,27.616749999999996,0
75.4,11.3,86.4,27.6744,25.8228,1
73.6,10.9,86.8,27.0529875,26.72355,1
77.0,11.4,87.5,30.135075000000004,26.873437499999998,0
81.5,12.9,88.3,26.0102375,26.97565,0
77.0,15.2,87.8,24.1786,31.344600000000003,0
82.0,11.5,88.0,27.766875,23.54,0
79.0,13.0,87.4,24.273,25.97965,0
82.2,12.8,89.7,26.901200000000003,23.804137500000003,0
72.7,12.0,87.5,23.815,30.001562500000002,1
79.8,12.2,88.2,27.371650000000002,24.2991,0
74.6,11.3,86.7,29.1490375,27.2346375,0
81.5,13.6,87.4,24.786,27.42175,0
76.7,11.8,87.3,25.655175,24.5203875,0
82.8,12.8,89.0,30.2039,22.906375,0
82.8,14.6,87.4,23.751875,26.569599999999998,0
80.8,10.3,88.8,27.3921375,25.1082,0
80.3,14.9,87.6,26.8596875,29.532149999999998,0
80.3,12.0,88.3,27.104,27.119137499999997,0
76.5,11.9,89.3,25.9784875,29.937825,0
78.7,11.7,88.9,26.324437500000002,26.7033375,0
81.0,11.8,88.3,27.2097,28.0794,1
74.7,13.7,86.6,25.027,29.054299999999998,1
83.2,11.1,89.2,29.014737500000003,23.939049999999998,0
83.5,11.8,90.2,26.6364,28.4581,0
80.7,11.6,89.8,27.4924,25.8175,0
78.2,13.8,87.2,26.237125,30.4982,0
80.8,11.7,88.2,26.7217875,25.6221,0
80.2,12.0,86.6,29.04,23.685100000000002,0
75.3,12.7,87.0,24.684075,27.024375,1
80.9,12.6,88.2,25.488025,26.019000000000002,0
79.2,12.7,86.9,29.987550000000002,22.0182875,0
80.3,14.0,87.8,24.209,25.516875,0
74.8,10.6,87.4,25.780725,26.514975,1
76.0,14.2,86.4,25.4397,26.8164,0
79.7,10.9,88.2,27.7880625,24.6519,0
77.9,10.3,88.4,24.3087,27.56975,1
